"connection_time","disconnect_time","done_charging_time","kwh_delivered","session_id","site_id","charger_id","station_id","connection_time_hours","charging_duration_hours"
"03-01-2020 18:40","04-01-2020 03:55","03-01-2020 23:08","9.566","2_39_126_20_2020-01-03 18:40:28.924098","2","CA-310","2-39-126-20","9.25","4.47"
"03-01-2020 19:04","04-01-2020 01:50","03-01-2020 20:11","3.695","2_39_131_30_2020-01-03 19:04:18.163790","2","CA-305","2-39-131-30","6.77","1.12"
"03-01-2020 19:10","03-01-2020 20:00","03-01-2020 20:00","2.804","2_39_130_31_2020-01-03 19:10:14.392450","2","CA-306","2-39-130-31","0.83","0.83"
"04-01-2020 00:59","04-01-2020 02:29","04-01-2020 02:29","4.98","2_39_123_23_2020-01-04 00:59:56.797170","2","CA-313","2-39-123-23","1.5","1.5"
"04-01-2020 02:19","04-01-2020 21:09","04-01-2020 05:34","11.271","2_39_139_28_2020-01-04 02:19:38.310090","2","CA-303","2-39-139-28","18.83","3.25"
"04-01-2020 03:21","04-01-2020 03:40","04-01-2020 03:41","2.127","2_39_131_30_2020-01-04 03:21:05.618565","2","CA-305","2-39-131-30","0.32","0.33"
"04-01-2020 16:03","05-01-2020 00:17","04-01-2020 16:33","0.845","2_39_131_30_2020-01-04 16:03:05.854880","2","CA-305","2-39-131-30","8.23","0.5"
"04-01-2020 16:35","04-01-2020 17:57","04-01-2020 17:57","8.696","2_39_129_17_2020-01-04 16:35:50.900297","2","CA-307","2-39-129-17","1.37","1.37"
"04-01-2020 16:45","05-01-2020 01:11","04-01-2020 23:48","47.386","2_39_79_377_2020-01-04 16:45:48.379080","2","CA-325","2-39-79-377","8.43","7.05"
"04-01-2020 17:36","04-01-2020 18:44","04-01-2020 18:43","3.64","2_39_128_18_2020-01-04 17:36:05.318091","2","CA-308","2-39-128-18","1.13","1.12"
"04-01-2020 19:20","04-01-2020 20:16","04-01-2020 20:16","0.879","2_39_129_17_2020-01-04 19:20:38.030150","2","CA-307","2-39-129-17","0.93","0.93"
"04-01-2020 20:13","04-01-2020 22:22","04-01-2020 21:07","2.505","2_39_125_21_2020-01-04 20:13:09.963739","2","CA-311","2-39-125-21","2.15","0.9"
"04-01-2020 23:36","05-01-2020 00:08","05-01-2020 00:09","0.79","2_39_127_19_2020-01-04 23:36:53.158060","2","CA-309","2-39-127-19","0.53","0.55"
"05-01-2020 00:08","05-01-2020 00:42","05-01-2020 00:40","0.787395278","2_39_127_19_2020-01-05 00:08:56.486738","2","CA-309","2-39-127-19","0.57","0.53"
"05-01-2020 00:14","05-01-2020 01:49","05-01-2020 00:44","0.877","2_39_138_29_2020-01-05 00:14:24.357979","2","CA-304","2-39-138-29","1.58","0.5"
"05-01-2020 00:42","05-01-2020 01:13","05-01-2020 01:13","0.778","2_39_126_20_2020-01-05 00:42:28.223622","2","CA-310","2-39-126-20","0.52","0.52"
"05-01-2020 02:20","05-01-2020 04:51","05-01-2020 04:22","9.222","2_39_129_17_2020-01-05 02:20:54.531254","2","CA-307","2-39-129-17","2.52","2.03"
"05-01-2020 02:30","05-01-2020 04:04","05-01-2020 04:04","5.423","2_39_89_25_2020-01-05 02:30:56.509870","2","CA-315","2-39-89-25","1.57","1.57"
"05-01-2020 17:22","05-01-2020 19:08","05-01-2020 18:56","4.689","2_39_89_25_2020-01-05 17:22:54.865827","2","CA-315","2-39-89-25","1.77","1.57"
"05-01-2020 19:52","05-01-2020 22:11","05-01-2020 20:30","1.441","2_39_79_380_2020-01-05 19:52:58.995281","2","CA-489","2-39-79-380","2.32","0.63"
"05-01-2020 20:31","06-01-2020 01:33","06-01-2020 00:14","12.918","2_39_139_28_2020-01-05 20:31:11.005412","2","CA-303","2-39-139-28","5.03","3.72"
"05-01-2020 20:31","06-01-2020 01:33","06-01-2020 01:33","0.994","2_39_131_30_2020-01-05 20:31:58.947706","2","CA-305","2-39-131-30","5.03","5.03"
"05-01-2020 23:06","06-01-2020 00:09","05-01-2020 23:50","2.077","2_39_127_19_2020-01-05 23:06:45.211244","2","CA-309","2-39-127-19","1.05","0.73"
"05-01-2020 23:27","06-01-2020 00:33","05-01-2020 23:58","0.85","2_39_79_379_2020-01-05 23:27:45.925246","2","CA-327","2-39-79-379","1.1","0.52"
"06-01-2020 15:54","07-01-2020 01:08","06-01-2020 20:45","24.261","2_39_78_366_2020-01-06 15:54:03.422821","2","CA-323","2-39-78-366","9.23","4.85"
"06-01-2020 15:58","06-01-2020 16:32","06-01-2020 16:29","0.831","2_39_79_380_2020-01-06 15:58:49.622769","2","CA-489","2-39-79-380","0.57","0.52"
"06-01-2020 16:07","07-01-2020 03:16","07-01-2020 03:15","16.006","2_39_79_379_2020-01-06 16:07:15.399027","2","CA-327","2-39-79-379","11.15","11.13"
"06-01-2020 16:26","07-01-2020 01:18","06-01-2020 20:48","0.964","2_39_139_28_2020-01-06 16:26:31.205980","2","CA-303","2-39-139-28","8.87","4.37"
"06-01-2020 16:27","06-01-2020 21:59","06-01-2020 16:48","1.296","2_39_79_377_2020-01-06 16:27:33.876128","2","CA-325","2-39-79-377","5.53","0.35"
"06-01-2020 16:38","07-01-2020 00:09","06-01-2020 21:11","15.822","2_39_131_30_2020-01-06 16:38:10.136068","2","CA-305","2-39-131-30","7.52","4.55"
"06-01-2020 16:38","06-01-2020 23:08","06-01-2020 20:46","0.943","2_39_129_17_2020-01-06 16:38:56.073904","2","CA-307","2-39-129-17","6.5","4.13"
"06-01-2020 16:41","07-01-2020 01:43","06-01-2020 19:55","21.338","2_39_79_382_2020-01-06 16:41:07.846325","2","CA-491","2-39-79-382","9.03","3.23"
"06-01-2020 16:51","06-01-2020 20:27","06-01-2020 17:40","2.213","2_39_138_29_2020-01-06 16:51:08.856990","2","CA-304","2-39-138-29","3.6","0.82"
"06-01-2020 17:08","07-01-2020 01:28","06-01-2020 18:19","3.9","2_39_127_19_2020-01-06 17:08:17.392912","2","CA-309","2-39-127-19","8.33","1.18"
"06-01-2020 17:19","07-01-2020 01:59","06-01-2020 18:39","6.01","2_39_78_365_2020-01-06 17:19:30.632305","2","CA-321","2-39-78-365","8.67","1.33"
"06-01-2020 17:27","07-01-2020 01:38","06-01-2020 23:07","30.26","2_39_78_363_2020-01-06 17:27:08.774394","2","CA-320","2-39-78-363","8.18","5.67"
"06-01-2020 17:31","06-01-2020 23:25","06-01-2020 20:48","0.8","2_39_130_31_2020-01-06 17:31:56.733009","2","CA-306","2-39-130-31","5.9","3.28"
"06-01-2020 17:37","07-01-2020 02:38","06-01-2020 18:24","1.411","2_39_89_25_2020-01-06 17:37:05.095406","2","CA-315","2-39-89-25","9.02","0.78"
"06-01-2020 17:48","07-01-2020 02:03","06-01-2020 19:43","5.961","2_39_95_27_2020-01-06 17:48:33.110861","2","CA-319","2-39-95-27","8.25","1.92"
"06-01-2020 17:56","07-01-2020 01:38","06-01-2020 19:24","4.293","2_39_90_440_2020-01-06 17:56:30.692525","2","CA-500","2-39-90-440","7.7","1.47"
"06-01-2020 18:02","07-01-2020 02:17","06-01-2020 19:59","5.884","2_39_91_437_2020-01-06 18:02:26.750975","2","CA-317","2-39-91-437","8.25","1.95"
"06-01-2020 18:07","07-01-2020 01:17","06-01-2020 19:15","3.43","2_39_125_21_2020-01-06 18:07:47.364420","2","CA-311","2-39-125-21","7.17","1.13"
"06-01-2020 18:16","06-01-2020 22:13","06-01-2020 20:23","7.141","2_39_90_26_2020-01-06 18:16:46.074695","2","CA-316","2-39-90-26","3.95","2.12"
"06-01-2020 18:47","07-01-2020 01:35","06-01-2020 19:17","2.471","2_39_78_364_2020-01-06 18:47:04.784079","2","CA-495","2-39-78-364","6.8","0.5"
"06-01-2020 19:55","07-01-2020 01:18","06-01-2020 21:30","4.693","2_39_79_383_2020-01-06 19:55:18.081734","2","CA-492","2-39-79-383","5.38","1.58"
"06-01-2020 20:39","06-01-2020 22:48","06-01-2020 22:07","3.343","2_39_78_360_2020-01-06 20:39:31.758198","2","CA-322","2-39-78-360","2.15","1.47"
"06-01-2020 21:30","06-01-2020 23:33","06-01-2020 21:50","0.591","2_39_92_436_2020-01-06 21:30:35.316299","2","CA-318","2-39-92-436","2.05","0.33"
"06-01-2020 23:47","07-01-2020 01:50","07-01-2020 01:06","3.926","2_39_130_31_2020-01-06 23:47:37.619088","2","CA-306","2-39-130-31","2.05","1.32"
"06-01-2020 23:54","07-01-2020 03:10","07-01-2020 00:24","0.846","2_39_129_17_2020-01-06 23:54:11.010552","2","CA-307","2-39-129-17","3.27","0.5"
"07-01-2020 00:51","07-01-2020 02:26","07-01-2020 01:21","0.888","2_39_131_30_2020-01-07 00:51:32.520469","2","CA-305","2-39-131-30","1.58","0.5"
"07-01-2020 16:02","08-01-2020 00:31","07-01-2020 20:40","1.381","2_39_79_380_2020-01-07 16:02:33.756969","2","CA-489","2-39-79-380","8.48","4.63"
"07-01-2020 16:08","08-01-2020 00:24","07-01-2020 16:46","3.158","2_39_79_377_2020-01-07 16:08:26.985548","2","CA-325","2-39-79-377","8.27","0.63"
"07-01-2020 16:14","08-01-2020 01:00","07-01-2020 23:20","11.31","2_39_139_28_2020-01-07 16:14:11.372907","2","CA-303","2-39-139-28","8.77","7.1"
"07-01-2020 16:18","07-01-2020 16:27","07-01-2020 16:27","0.812","2_39_78_366_2020-01-07 16:18:24.813262","2","CA-323","2-39-78-366","0.15","0.15"
"07-01-2020 16:34","08-01-2020 00:44","08-01-2020 00:11","28.575","2_39_78_367_2020-01-07 16:34:11.592579","2","CA-494","2-39-78-367","8.17","7.62"
"07-01-2020 16:41","08-01-2020 02:47","07-01-2020 23:20","0.99","2_39_124_558_2020-01-07 16:41:45.476338","2","CA-504","2-39-124-558","10.1","6.65"
"07-01-2020 16:44","08-01-2020 02:07","07-01-2020 23:11","0.852","2_39_78_366_2020-01-07 16:44:44.889177","2","CA-323","2-39-78-366","9.38","6.45"
"07-01-2020 16:48","08-01-2020 01:57","07-01-2020 19:54","20.334","2_39_79_379_2020-01-07 16:48:17.302526","2","CA-327","2-39-79-379","9.15","3.1"
"07-01-2020 17:07","08-01-2020 00:12","07-01-2020 18:29","4.073","2_39_89_25_2020-01-07 17:07:19.306022","2","CA-315","2-39-89-25","7.08","1.37"
"07-01-2020 17:09","08-01-2020 01:28","07-01-2020 19:30","8.983","2_39_78_360_2020-01-07 17:09:37.198411","2","CA-322","2-39-78-360","8.32","2.35"
"07-01-2020 17:18","08-01-2020 01:56","07-01-2020 18:50","10.451","2_39_95_27_2020-01-07 17:18:08.277614","2","CA-319","2-39-95-27","8.63","1.53"
"07-01-2020 17:56","07-01-2020 22:44","07-01-2020 22:27","0.961","2_39_78_363_2020-01-07 17:56:00.645488","2","CA-320","2-39-78-363","4.8","4.52"
"07-01-2020 18:01","08-01-2020 02:41","07-01-2020 20:30","17.273","2_39_95_444_2020-01-07 18:01:29.003460","2","CA-497","2-39-95-444","8.67","2.48"
"07-01-2020 18:02","07-01-2020 18:39","07-01-2020 18:33","0.992","2_39_78_361_2020-01-07 18:02:14.215729","2","CA-493","2-39-78-361","0.62","0.52"
"07-01-2020 18:18","08-01-2020 02:06","07-01-2020 20:18","12.102","2_39_91_437_2020-01-07 18:18:52.016000","2","CA-317","2-39-91-437","7.8","2"
"07-01-2020 18:19","08-01-2020 01:20","07-01-2020 18:45","0.736","2_39_79_376_2020-01-07 18:19:25.324169","2","CA-324","2-39-79-376","7.02","0.43"
"07-01-2020 18:41","08-01-2020 00:33","07-01-2020 20:23","3.346","2_39_79_383_2020-01-07 18:41:44.053230","2","CA-492","2-39-79-383","5.87","1.7"
"07-01-2020 19:11","08-01-2020 01:02","07-01-2020 20:23","3.527","2_39_130_31_2020-01-07 19:11:31.617969","2","CA-306","2-39-130-31","5.85","1.2"
"07-01-2020 19:18","08-01-2020 00:38","07-01-2020 21:50","15.039","2_39_78_361_2020-01-07 19:18:22.250952","2","CA-493","2-39-78-361","5.33","2.53"
"07-01-2020 20:11","08-01-2020 03:27","08-01-2020 00:14","22.382","2_39_123_23_2020-01-07 20:11:49.110350","2","CA-313","2-39-123-23","7.27","4.05"
"07-01-2020 20:19","08-01-2020 01:10","07-01-2020 21:25","3.352","2_39_88_24_2020-01-07 20:19:39.760082","2","CA-314","2-39-88-24","4.85","1.1"
"07-01-2020 20:29","07-01-2020 21:30","07-01-2020 21:30","3.436","2_39_79_381_2020-01-07 20:29:14.889944","2","CA-490","2-39-79-381","1.02","1.02"
"07-01-2020 20:37","08-01-2020 01:26","07-01-2020 21:50","2.328","2_39_90_26_2020-01-07 20:37:23.109854","2","CA-316","2-39-90-26","4.82","1.22"
"07-01-2020 20:44","08-01-2020 00:05","07-01-2020 22:49","13.449","2_39_129_17_2020-01-07 20:44:18.282719","2","CA-307","2-39-129-17","3.35","2.08"
"07-01-2020 20:55","07-01-2020 21:20","07-01-2020 21:20","0.679","2_39_126_20_2020-01-07 20:55:52.355261","2","CA-310","2-39-126-20","0.42","0.42"
"07-01-2020 21:18","07-01-2020 22:04","07-01-2020 22:04","1.913","2_39_138_29_2020-01-07 21:18:55.159507","2","CA-304","2-39-138-29","0.77","0.77"
"07-01-2020 21:22","08-01-2020 00:36","08-01-2020 00:35","4.443","2_39_131_30_2020-01-07 21:22:49.291498","2","CA-305","2-39-131-30","3.23","3.22"
"08-01-2020 00:02","08-01-2020 02:20","08-01-2020 02:01","6.083","2_39_127_19_2020-01-08 00:02:24.280980","2","CA-309","2-39-127-19","2.3","1.98"
"08-01-2020 00:24","08-01-2020 01:14","08-01-2020 01:08","0.971","2_39_138_29_2020-01-08 00:24:43.948203","2","CA-304","2-39-138-29","0.83","0.73"
"08-01-2020 01:13","08-01-2020 06:01","08-01-2020 05:41","15.307","2_39_139_28_2020-01-08 01:13:30.507280","2","CA-303","2-39-139-28","4.8","4.47"
"08-01-2020 01:18","08-01-2020 02:42","08-01-2020 01:55","1.425","2_39_131_30_2020-01-08 01:18:51.896007","2","CA-305","2-39-131-30","1.4","0.62"
"08-01-2020 03:07","08-01-2020 03:39","08-01-2020 03:38","0.902","2_39_129_17_2020-01-08 03:07:08.706728","2","CA-307","2-39-129-17","0.53","0.52"
"08-01-2020 03:34","08-01-2020 04:31","08-01-2020 04:31","1.309","2_39_138_29_2020-01-08 03:34:43.874159","2","CA-304","2-39-138-29","0.95","0.95"
"08-01-2020 03:43","08-01-2020 06:08","08-01-2020 06:08","15.08","2_39_128_18_2020-01-08 03:43:09.855899","2","CA-308","2-39-128-18","2.42","2.42"
"08-01-2020 16:01","08-01-2020 22:31","08-01-2020 21:44","0.867","2_39_79_380_2020-01-08 16:01:09.994789","2","CA-489","2-39-79-380","6.5","5.72"
"08-01-2020 16:12","09-01-2020 01:39","09-01-2020 00:24","15.141","2_39_78_366_2020-01-08 16:12:48.710988","2","CA-323","2-39-78-366","9.45","8.2"
"08-01-2020 16:32","08-01-2020 19:51","08-01-2020 16:58","1.609","2_39_79_377_2020-01-08 16:32:07.072408","2","CA-325","2-39-79-377","3.32","0.43"
"08-01-2020 16:36","09-01-2020 00:42","08-01-2020 17:31","2.616","2_39_138_29_2020-01-08 16:36:22.541067","2","CA-304","2-39-138-29","8.1","0.92"
"08-01-2020 16:41","09-01-2020 01:38","09-01-2020 01:00","1.017","2_39_78_363_2020-01-08 16:41:51.130310","2","CA-320","2-39-78-363","8.95","8.32"
"08-01-2020 16:45","09-01-2020 01:11","08-01-2020 18:43","6.326","2_39_79_379_2020-01-08 16:45:10.828203","2","CA-327","2-39-79-379","8.43","1.97"
"08-01-2020 16:51","09-01-2020 01:30","08-01-2020 20:04","20.866","2_39_79_382_2020-01-08 16:51:21.322414","2","CA-491","2-39-79-382","8.65","3.22"
"08-01-2020 17:03","09-01-2020 01:22","08-01-2020 18:42","4.989","2_39_89_25_2020-01-08 17:03:38.145516","2","CA-315","2-39-89-25","8.32","1.65"
"08-01-2020 17:08","09-01-2020 05:30","08-01-2020 18:09","1.95","2_39_91_437_2020-01-08 17:08:31.235522","2","CA-317","2-39-91-437","12.37","1.02"
"08-01-2020 17:09","09-01-2020 00:25","08-01-2020 18:57","10.929","2_39_92_436_2020-01-08 17:09:10.502784","2","CA-318","2-39-92-436","7.27","1.8"
"08-01-2020 17:16","08-01-2020 18:27","08-01-2020 18:27","3.605","2_39_79_381_2020-01-08 17:16:12.235518","2","CA-490","2-39-79-381","1.18","1.18"
"08-01-2020 17:34","08-01-2020 23:36","08-01-2020 23:37","9.225","2_39_78_362_2020-01-08 17:34:14.763455","2","CA-496","2-39-78-362","6.03","6.05"
"08-01-2020 17:57","09-01-2020 00:04","08-01-2020 19:57","12.886","2_39_139_28_2020-01-08 17:57:00.106655","2","CA-303","2-39-139-28","6.12","2"
"08-01-2020 18:01","09-01-2020 02:05","08-01-2020 20:23","13.13","2_39_79_376_2020-01-08 18:01:16.918074","2","CA-324","2-39-79-376","8.07","2.37"
"08-01-2020 19:29","08-01-2020 20:59","08-01-2020 19:59","0.79","2_39_124_22_2020-01-08 19:29:18.415205","2","CA-312","2-39-124-22","1.5","0.5"
"08-01-2020 19:56","09-01-2020 01:33","08-01-2020 21:54","6.249","2_39_123_23_2020-01-08 19:56:26.883685","2","CA-313","2-39-123-23","5.62","1.97"
"08-01-2020 20:23","08-01-2020 22:57","08-01-2020 22:40","7.41","2_39_92_442_2020-01-08 20:23:02.781043","2","CA-498","2-39-92-442","2.57","2.28"
"08-01-2020 20:45","09-01-2020 01:18","08-01-2020 22:38","5.862","2_39_79_383_2020-01-08 20:45:16.393274","2","CA-492","2-39-79-383","4.55","1.88"
"08-01-2020 20:58","09-01-2020 03:39","09-01-2020 01:00","22.388","2_39_131_30_2020-01-08 20:58:14.811792","2","CA-305","2-39-131-30","6.68","4.03"
"08-01-2020 21:05","09-01-2020 00:15","08-01-2020 23:02","6.756","2_39_78_360_2020-01-08 21:05:16.540896","2","CA-322","2-39-78-360","3.17","1.95"
"09-01-2020 02:07","09-01-2020 05:25","09-01-2020 05:25","11.746","2_39_139_28_2020-01-09 02:07:05.333312","2","CA-303","2-39-139-28","3.3","3.3"
"09-01-2020 04:43","09-01-2020 06:04","09-01-2020 06:03","4.627","2_39_126_20_2020-01-09 04:43:47.940850","2","CA-310","2-39-126-20","1.35","1.33"
"09-01-2020 16:04","09-01-2020 23:29","09-01-2020 16:34","0.843","2_39_79_380_2020-01-09 16:04:14.830518","2","CA-489","2-39-79-380","7.42","0.5"
"09-01-2020 16:10","09-01-2020 23:35","09-01-2020 19:59","13.202","2_39_139_28_2020-01-09 16:10:37.336926","2","CA-303","2-39-139-28","7.42","3.82"
"09-01-2020 16:19","09-01-2020 21:15","09-01-2020 17:48","9.424","2_39_78_367_2020-01-09 16:19:20.277716","2","CA-494","2-39-78-367","4.93","1.48"
"09-01-2020 16:33","10-01-2020 01:17","09-01-2020 16:56","1.369","2_39_79_379_2020-01-09 16:33:21.216720","2","CA-327","2-39-79-379","8.73","0.38"
"09-01-2020 16:42","10-01-2020 02:13","09-01-2020 19:56","20.438","2_39_79_376_2020-01-09 16:42:43.172172","2","CA-324","2-39-79-376","9.52","3.23"
"09-01-2020 16:46","10-01-2020 03:24","09-01-2020 19:58","9.887","2_39_128_562_2020-01-09 16:46:00.255020","2","CA-508","2-39-128-562","10.63","3.2"
"09-01-2020 16:48","10-01-2020 02:17","09-01-2020 18:22","4.716","2_39_78_360_2020-01-09 16:48:35.825092","2","CA-322","2-39-78-360","9.48","1.57"
"09-01-2020 16:57","10-01-2020 02:12","10-01-2020 01:09","27.671","2_39_92_442_2020-01-09 16:56:59.771282","2","CA-498","2-39-92-442","9.25","8.2"
"09-01-2020 17:06","10-01-2020 01:28","09-01-2020 23:23","0.845","2_39_78_366_2020-01-09 17:06:00.694759","2","CA-323","2-39-78-366","8.37","6.28"
"09-01-2020 17:08","10-01-2020 01:07","09-01-2020 20:06","10.759","2_39_131_30_2020-01-09 17:08:02.638904","2","CA-305","2-39-131-30","7.98","2.97"
"09-01-2020 17:16","09-01-2020 22:51","09-01-2020 21:08","2.744","2_39_78_365_2020-01-09 17:16:07.248740","2","CA-321","2-39-78-365","5.58","3.87"
"09-01-2020 17:27","10-01-2020 04:43","09-01-2020 18:50","4","2_39_89_25_2020-01-09 17:27:40.035050","2","CA-315","2-39-89-25","11.27","1.38"
"09-01-2020 17:51","10-01-2020 03:11","09-01-2020 19:08","7.565","2_39_79_377_2020-01-09 17:51:41.065598","2","CA-325","2-39-79-377","9.33","1.28"
"09-01-2020 18:02","09-01-2020 20:50","09-01-2020 18:36","1.265","2_39_130_31_2020-01-09 18:02:38.602392","2","CA-306","2-39-130-31","2.8","0.57"
"09-01-2020 18:10","10-01-2020 01:23","09-01-2020 19:35","4.396","2_39_123_23_2020-01-09 18:10:38.616395","2","CA-313","2-39-123-23","7.22","1.42"
"09-01-2020 18:11","10-01-2020 00:25","09-01-2020 20:14","12.278","2_39_92_436_2020-01-09 18:11:57.104589","2","CA-318","2-39-92-436","6.23","2.05"
"09-01-2020 18:16","10-01-2020 00:56","09-01-2020 20:14","5.801","2_39_79_381_2020-01-09 18:16:11.053695","2","CA-490","2-39-79-381","6.67","1.97"
"09-01-2020 18:37","09-01-2020 18:42","09-01-2020 18:42","0.527","2_39_78_361_2020-01-09 18:37:27.722288","2","CA-493","2-39-78-361","0.08","0.08"
"09-01-2020 18:38","10-01-2020 02:01","09-01-2020 19:52","8.502","2_39_95_27_2020-01-09 18:38:40.130714","2","CA-319","2-39-95-27","7.38","1.23"
"09-01-2020 18:40","09-01-2020 20:06","09-01-2020 19:56","6.888","2_39_125_21_2020-01-09 18:40:33.590799","2","CA-311","2-39-125-21","1.43","1.27"
"09-01-2020 18:40","10-01-2020 00:13","09-01-2020 21:19","4.134","2_39_129_17_2020-01-09 18:40:57.549588","2","CA-307","2-39-129-17","5.55","2.65"
"09-01-2020 18:46","10-01-2020 02:51","09-01-2020 20:08","4.39","2_39_91_437_2020-01-09 18:46:38.522743","2","CA-317","2-39-91-437","8.08","1.37"
"09-01-2020 18:55","09-01-2020 19:15","09-01-2020 19:15","0.664","2_39_90_26_2020-01-09 18:55:34.735498","2","CA-316","2-39-90-26","0.33","0.33"
"09-01-2020 19:00","10-01-2020 05:14","09-01-2020 23:33","0.902","2_39_78_361_2020-01-09 19:00:19.495083","2","CA-493","2-39-78-361","10.23","4.55"
"09-01-2020 19:02","09-01-2020 20:19","09-01-2020 20:19","8.029","2_39_128_18_2020-01-09 19:02:04.205474","2","CA-308","2-39-128-18","1.28","1.28"
